"","x"
"215",1
"216",1
"217",1
"218",1
"219",2
"220",2
"221",2
"222",1
"223",2
"224",2
"225",2
"226",1
"227",1
"228",2
"229",2
"230",2
"231",2
"232",1
"233",2
"234",2
"235",1
"236",2
"237",1
"238",2
"239",2
"240",1
"241",1
"242",2
"243",2
"244",2
"245",2
"246",2
"247",1
"248",1
"249",2
"250",2
"251",1
"252",2
"253",1
"254",2
"255",1
"256",2
"257",1
"258",2
"259",1
"260",1
"261",2
"262",1
"263",2
"264",1
"265",2
"266",2
"267",2
"268",2
"269",2
"270",2
"271",2
"272",1
"273",2
"274",1
"275",1
"276",1
"277",2
"278",2
"279",2
"280",1
"281",1
"282",1
"283",2
"284",2
"285",2
"286",1
"287",2
"288",1
"289",1
"290",2
"291",2
"292",2
"293",1
"294",1
"295",1
"296",1
"297",1
"298",1
"299",2
"300",1
"301",1
"302",1
"303",2
"304",2
"305",2
"306",1
"307",1
"308",1
"309",1
"310",1
"311",1
"312",1
"313",1
"314",2
"315",2
"316",1
"317",2
"318",2
"319",2
"320",1
"321",1
"322",1
"323",1
"324",1
"325",1
"326",1
"327",1
"328",2
"329",2
"330",2
"331",2
"332",1
"333",2
"334",1
"335",2
"336",1
"337",2
"338",2
"339",1
"340",2
"341",1
"342",2
"343",1
"344",2
"345",1
"346",1
"347",1
"348",1
"349",2
"350",2
"351",2
"352",2
"353",2
"354",2
"355",2
"356",1
"357",2
"358",1
"359",2
"360",1
"361",2
"362",1
"363",2
"364",2
"365",2
"366",1
"367",1
"368",1
"369",1
"370",1
"371",1
"372",1
"373",1
"374",1
"375",2
"376",1
"377",2
"378",2
"379",2
"380",2
"381",2
"382",1
"383",1
"384",2
"385",2
"386",2
"387",1
"388",2
"389",2
"390",2
"391",2
"392",1
"393",1
"394",1
"395",1
"396",2
"397",1
"398",1
"399",1
"400",2
"401",1
"402",2
"403",1
"404",1
"405",2
"406",1
"407",1
"408",2
"409",1
"410",2
"411",2
"412",1
"413",1
"414",1
"415",2
"416",1
"417",1
"418",1
"419",1
"420",2
"421",2
"422",1
"423",1
"424",1
"425",2
"426",2
"427",1
"428",2
"429",2
"430",1
"431",1
"432",2
"433",2
"434",1
"435",1
"436",1
"437",2
"438",2
"439",1
"440",1
"441",2
"442",2
"443",2
"444",2
"445",1
"446",1
"447",1
"448",1
"449",1
"450",2
"451",1
"452",1
"453",2
"454",1
"455",1
"456",2
"457",2
"458",2
"459",2
"460",1
"461",1
"462",2
"463",1
"464",1
"465",1
"466",2
"467",2
"468",1
"469",1
"470",1
"471",1
"472",2
"473",2
"474",2
"475",2
"476",1
"477",1
"478",2
"479",1
"480",2
"481",2
"482",1
"483",2
"484",2
"485",1
"486",2
"487",1
"488",1
"489",1
"490",1
"491",2
"492",2
"493",1
"494",2
"495",2
"496",1
"497",1
"498",2
"499",1
"500",1
"501",1
"502",1
"503",2
"504",2
"505",1
"506",2
"507",2
"508",2
"509",1
"510",1
"511",1
"512",2
"513",1
"514",2
"515",2
"516",2
"517",1
"518",1
"519",1
"520",2
"521",1
"522",2
"523",2
"524",1
"525",2
"526",1
"527",1
"528",2
"529",1
"530",1
"531",2
"532",2
"533",2
"534",1
"535",2
"536",2
"537",2
"538",2
"539",2
"540",1
"541",2
"542",1
"543",1
"544",2
"545",1
"546",1
"547",2
"548",1
"549",1
"550",1
"551",2
"552",2
"553",1
"554",2
"555",2
"556",1
"557",1
"558",1
"559",1
"560",1
"561",2
"562",2
"563",1
"564",1
"565",2
"566",2
"567",2
"568",2
"569",1
"570",1
"571",1
"572",2
"573",2
"574",2
"575",1
"576",1
"577",2
"578",2
"579",2
"580",1
"581",1
"582",1
"583",1
"584",1
"585",1
"586",2
"587",2
"588",2
"589",1
"590",2
"591",1
"592",1
"593",1
"594",1
"595",1
"596",1
"597",1
"598",2
"599",1
"600",2
