"","x"
"215",2
"216",2
"217",1
"218",1
"219",2
"220",2
"221",2
"222",2
"223",2
"224",1
"225",1
"226",1
"227",2
"228",2
"229",2
"230",2
"231",1
"232",2
"233",2
"234",2
"235",2
"236",2
"237",2
"238",1
"239",1
"240",2
"241",1
"242",1
"243",2
"244",2
"245",1
"246",1
"247",1
"248",2
"249",2
"250",2
"251",2
"252",1
"253",1
"254",1
"255",2
"256",2
"257",1
"258",1
"259",2
"260",2
"261",1
"262",2
"263",1
"264",2
"265",2
"266",2
"267",2
"268",2
"269",2
"270",2
"271",2
"272",2
"273",1
"274",1
"275",2
"276",2
"277",1
"278",2
"279",2
"280",2
"281",1
"282",1
"283",2
"284",2
"285",2
"286",1
"287",1
"288",1
"289",1
"290",1
"291",1
"292",1
"293",2
"294",1
"295",1
"296",1
"297",1
"298",1
"299",2
"300",2
"301",2
"302",2
"303",1
"304",2
"305",1
"306",2
"307",2
"308",2
"309",1
"310",2
"311",2
"312",2
"313",1
"314",1
"315",1
"316",1
"317",2
"318",2
"319",2
"320",2
"321",2
"322",2
"323",2
"324",1
"325",2
"326",1
"327",1
"328",2
"329",2
"330",1
"331",2
"332",2
"333",1
"334",2
"335",1
"336",1
"337",2
"338",2
"339",1
"340",2
"341",1
"342",2
"343",2
"344",1
"345",1
"346",2
"347",2
"348",2
"349",2
"350",2
"351",2
"352",1
"353",2
"354",2
"355",2
"356",1
"357",1
"358",2
"359",1
"360",2
"361",2
"362",2
"363",2
"364",1
"365",1
"366",1
"367",1
"368",1
"369",1
"370",1
"371",1
"372",2
"373",1
"374",2
"375",2
"376",2
"377",2
"378",2
"379",1
"380",2
"381",1
"382",2
"383",1
"384",1
"385",1
"386",2
"387",2
"388",1
"389",1
"390",1
"391",2
"392",2
"393",2
"394",1
"395",2
"396",2
"397",2
"398",1
"399",2
"400",1
"401",2
"402",1
"403",2
"404",2
"405",1
"406",1
"407",1
"408",1
"409",1
"410",1
"411",1
"412",1
"413",1
"414",2
"415",1
"416",2
"417",2
"418",2
"419",1
"420",1
"421",2
"422",1
"423",2
"424",1
"425",2
"426",2
"427",2
"428",2
"429",1
"430",2
"431",1
"432",2
"433",2
"434",2
"435",2
"436",1
"437",1
"438",2
"439",2
"440",1
"441",1
"442",1
"443",1
"444",1
"445",2
"446",1
"447",1
"448",2
"449",2
"450",1
"451",2
"452",1
"453",2
"454",2
"455",1
"456",1
"457",1
"458",1
"459",1
"460",1
"461",2
"462",1
"463",1
"464",2
"465",1
"466",1
"467",1
"468",2
"469",2
"470",1
"471",1
"472",1
"473",2
"474",2
"475",2
"476",1
"477",1
"478",2
"479",1
"480",2
"481",2
"482",1
"483",2
"484",1
"485",2
"486",1
"487",1
"488",2
"489",2
"490",2
"491",1
"492",1
"493",2
"494",2
"495",1
"496",2
"497",2
"498",1
"499",1
"500",1
"501",2
"502",1
"503",1
"504",2
"505",2
"506",2
"507",1
"508",2
"509",1
"510",1
"511",1
"512",2
"513",2
"514",2
"515",1
"516",1
"517",1
"518",2
"519",2
"520",2
"521",2
"522",2
"523",2
"524",1
"525",2
"526",1
"527",2
"528",1
"529",2
"530",2
"531",2
"532",2
"533",2
"534",2
"535",2
"536",1
"537",1
"538",2
"539",2
"540",1
"541",2
"542",2
"543",2
"544",1
"545",1
"546",1
"547",2
"548",1
"549",1
"550",1
"551",1
"552",2
"553",2
"554",2
"555",2
"556",2
"557",2
"558",1
"559",2
"560",2
"561",1
"562",2
"563",2
"564",2
"565",1
"566",2
"567",1
"568",1
"569",1
"570",1
"571",2
"572",1
"573",1
"574",1
"575",1
"576",2
"577",2
"578",1
"579",1
"580",2
"581",1
"582",1
"583",1
"584",1
"585",1
"586",1
"587",1
"588",1
"589",2
"590",2
"591",1
"592",2
"593",2
"594",1
"595",1
"596",2
"597",1
"598",2
"599",1
"600",2
